"date	", confirmedCount ,suspectedCount ,curedCount ,deadCount
2020-1-23,0,0,0,0
2020-1-24,0,0,0,0
2020-1-25,0,0,0,0
2020-1-26,0,0,0,0
2020-1-27,0,0,0,0
2020-1-28,0,0,0,0
2020-1-29,0,0,0,0
2020-1-30,0,0,0,0
2020-1-31,0,0,0,0
2020-2-1,0,0,0,0
2020-2-2,0,0,0,0
2020-2-3,0,0,0,0
2020-2-4,0,0,0,0
2020-2-5,0,0,0,0
2020-2-6,0,0,0,0
2020-2-7,0,0,0,0
2020-2-8,0,0,0,0
2020-2-9,0,0,0,0
2020-2-10,0,0,0,0
2020-2-11,0,0,0,0
2020-2-12,0,0,0,0
2020-2-13,0,0,0,0
2020-2-14,0,0,0,0
2020-2-15,0,0,0,0
2020-2-16,0,0,0,0
2020-2-17,0,0,0,0
2020-2-18,0,0,0,0
2020-2-19,2,0,0,2
2020-2-20,5,0,0,2
2020-2-21,18,0,0,4
2020-2-22,28,0,0,5
2020-2-23,43,0,0,8
2020-2-24,61,0,0,12
2020-2-25,95,0,0,16
2020-2-26,139,0,49,19
2020-2-27,245,0,49,26
2020-2-28,388,0,73,34
2020-2-29,593,0,123,43
2020-3-1,978,0,175,54
2020-3-2,1501,0,291,66
2020-3-3,2336,0,291,77
2020-3-4,2922,0,552,92
"2020-3-5	",3513,0,739,107
2020-3-6,4747,,913,124
2020-3-7,5823,,1669,145
2020-3-8,6566,,2134,194
2020-3-9,7161,,2394,237
2020-3-10,8042,,2731,291
2020-3-11,9000,,2959,354
2020-3-12,10075,,2959,429
2020-3-13,11364,,2959,514
2020-3-14,12729,,2959,611
2020-3-15,13938,,4590,724
2020-3-16,14991,,4590,853
2020-3-17,16169,,5389,988
2020-3-18,17361,,5389,1135
2020-3-19,18407,,5710,1284
2020-3-20,19644,,6745,1433
2020-3-21,20610,,7635,1556
2020-3-22,21638,,7931,1685
