date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,3,0,0
2020-3-11,9,0,0
2020-3-12,9,0,0
2020-3-13,13,0,0
2020-3-14,22,0,0
2020-3-15,34,0,0
2020-3-16,57,0,0
2020-3-17,75,1,0
2020-3-18,102,1,0
2020-3-19,108,1,0
2020-3-20,158,1,0
2020-3-21,196,1,0
2020-3-22,231,3,2
2020-3-23,277,3,3
2020-3-24,378,6,3
2020-3-25,470,8,4
2020-3-26,491,8,6
2020-3-27,539,10,6
2020-3-28,608,10,6
2020-3-29,702,10,10
2020-3-30,798,15,12
2020-3-31,906,31,16
2020-4-1,1065,39,17
2020-4-2,1161,55,19
2020-4-3,1267,55,25
2020-4-4,1406,85,32
2020-4-5,1485,88,35
2020-4-6,1579,88,46
2020-4-7,1780,100,50
2020-4-8,2054,123,54
2020-4-9,2223,174,69
2020-4-10,2473,197,80
2020-4-11,2709,214,100
2020-4-12,2776,270,109
2020-4-13,2852,319,112
2020-4-14,2979,354,127
2020-4-15,3105,452,131
2020-4-16,3233,550,144
2020-4-17,3439,634,153
2020-4-18,3621,634,166
2020-4-19,3792,711,179
2020-4-20,3977,804,189
2020-4-21,4149,804,196
2020-4-22,4356,870,206
2020-4-23,4561,927,215
2020-4-24,4881,1003,225
2020-4-25,5142,1067,233
2020-4-26,5379,1133,244
2020-4-27,5597,1210,253
2020-4-28,5949,1268,269
2020-4-29,6207,1411,278
2020-4-30,6507,1439,293
2020-5-1,7006,1551,314
2020-5-2,7285,1666,324
2020-5-3,7668,1722,340
2020-5-4,7973,1807,358
2020-5-5,8613,2013,378
2020-5-6,8959,2148,397
2020-5-7,9456,2300,407
2020-5-8,10051,2424,428
2020-5-9,10495,2569,445
2020-5-10,11063,2705,463
2020-5-11,11613,2825,479
2020-5-12,12272,2971,493
2020-5-13,12930,3133,509
2020-5-14,13610,3358,525
2020-5-15,14216,3460,546
2020-5-16,14939,3587,562
2020-5-17,15574,3751,574
2020-5-18,16295,3903,592
2020-5-19,16935,4050,613
2020-5-20,17687,4256,630
2020-5-21,18330,4431,652
2020-5-22,19131,4575,682
2020-5-23,20177,4718,705
2020-5-24,21175,5016,727
2020-5-25,21981,5265,750
2020-5-26,23003,5511,776
2020-5-27,24104,6111,803
2020-5-28,25366,6132,822
2020-5-29,26688,6687,853
2020-5-30,28236,6935,890
2020-5-31,29383,7032,939
2020-6-1,30493,8384,969
2020-6-2,31833,9689,1009
2020-6-3,33354,11171,1045
2020-6-4,35120,12319,1087
2020-6-5,36635,13670,1145
2020-6-6,38027,13670,1205
2020-6-7,39236,14414,1259
2020-6-8,40719,16459,1308
2020-6-9,42078,16459,1372
2020-6-10,43682,16566,1433
2020-6-11,45212,17366,1488
2020-6-12,46858,17823,1545
2020-6-13,48746,18749,1592
2020-6-14,50939,19460,1667
2020-6-15,53063,19985,1726
2020-6-16,54931,19986,1801
2020-6-17,57046,20400,1864
2020-6-18,60217,21361,1950
2020-6-19,63276,22726,2045
2020-6-20,65633,24035,2126
2020-6-21,68652,27412,2237
2020-6-22,71183,29024,2310
2020-6-23,73572,30517,2404
2020-6-24,77113,30517,2491
2020-6-25,80599,31729,2654
2020-6-26,84442,33410,2811
2020-6-27,88591,34999,2939
2020-6-28,91769,38345,3178
2020-6-29,95043,38345,3274
2020-6-30,97846,40021,3334
2020-7-1,102009,42143,3470
2020-7-2,106110,43481,3641
2020-7-3,109505,44606,3777
2020-7-4,113389,45409,3942
2020-7-5,117110,46643,4064
2020-7-6,120281,47961,4210
2020-7-7,124494,50370,4359
2020-7-8,128638,51861,4527
2020-7-9,133973,53634,4714
2020-7-10,140776,56272,4925
2020-7-11,145632,58800,5119
2020-7-12,150445,61186,5307
2020-7-13,154277,63451,5455
2020-7-14,159898,65809,5625
2020-7-15,165169,68806,5814
2020-7-16,173206,71736,6029
2020-7-17,182140,80637,6288
2020-7-18,190700,85836,6516
2020-7-19,197278,91793,6736
2020-7-20,204005,95804,6929
2020-7-21,211038,98840,7166
2020-7-22,218428,101613,7373
2020-7-23,226373,107951,7688
2020-7-24,233541,113864,7975
2020-7-25,240795,119667,8269
2020-7-26,248976,125037,8525
2020-7-27,257101,131161,8777
2020-7-28,267385,136690,9074
2020-7-29,276055,142777,9454
2020-7-30,286020,148695,9810
2020-7-31,295508,154387,10105
2020-8-1,306181,160708,10330
2020-8-2,317651,167239,10650
2020-8-3,327850,173727,11017
2020-8-4,334979,180258,11315
2020-8-5,345714,186317,11624
2020-8-6,357710,192355,11939
2020-8-7,367204,198495,12250
2020-8-8,376870,204591,12540
2020-8-9,387481,212688,12842
2020-8-10,397623,221484,13154
2020-8-11,410453,230427,13475
2020-8-12,422519,239785,13837
2020-8-13,433805,250494,14145
2020-8-14,445111,261293,14492
2020-8-15,456689,274420,14810
2020-8-16,468332,287436,15097
2020-8-17,476660,301525,15372
2020-8-18,489122,312323,15619
2020-8-19,502178,326298,15979
2020-8-20,513719,339124,16183
2020-8-21,522138,348940,16568
2020-8-22,533103,359792,16968
2020-8-23,541139,374024,17316
2020-8-24,551688,384165,17612
2020-8-25,562113,395463,17889
2020-8-26,572243,407114,18184
2020-8-27,581995,417781,18467
2020-8-28,590492,429608,18766
2020-8-29,599884,440562,19063
2020-8-30,607904,450609,19363
2020-8-31,615094,459460,19662
2020-9-1,624026,469552,20050
2020-9-2,633321,479567,20345
2020-9-3,641574,489151,20618
2020-9-4,650063,498221,20888
2020-9-5,658456,507770,21156
2020-9-6,666521,518229,21412
2020-9-7,671848,529279,21615
2020-9-8,671533,529017,21611
2020-9-9,686851,552885,22053
2020-9-10,694664,569479,22275
2020-9-11,702088,582694,22518
2020-9-12,708964,592820,22734
2020-9-13,716319,599385,22924
2020-9-14,721892,606925,23123
2020-9-15,728590,607978,23288
2020-9-16,736377,610078,23478
2020-9-17,743945,615457,23665
2020-9-18,750471,615457,23665
2020-9-19,758398,627685,24039
2020-9-20,765076,633199,24208
2020-9-21,770435,640900,24397
2020-9-22,777537,640900,24397
2020-9-23,784268,662277,24746
2020-9-24,790823,662277,24746
2020-9-25,798317,687477,25103
2020-9-26,806038,700112,25296
2020-9-27,813056,711472,25488
2020-9-28,818203,722536,25641
2020-9-29,824042,734154,25828
2020-9-30,829679,743653,25998
